StoryNumber,ID,Name ,Story , LeftOneImage,LeftTwoImage ,RightOneImage,RightTwoImage,LeftOne ,LeftTwo ,RightOne,RightTwo,EndFlag,NextStory,NextStartNumber,NextEndNumber,SceneMode,Title,LoadScene,ClearConditions,BG,Nalation,NalOnOff,NameLR
1,0,ヒュー,みんな、準備はいいか,0,0,0,0,ON,OFF,OFF,OFF,0,Story1After,9,10,1,赤光、白熱,Story,Boss,1,0,0,0
2,1,キース,銃よし,0,0,0,2,SHADE,OFF,OFF,ON,0,Story1Before,9,10,,殺人機械,,,,,,1
,2,ケン,拳よし！,0,0,3,2,SHADE,OFF,ON,SHADE,0,,9,10,,,,,,,,1
,3,アイン,ぜーんぶよし！,0,1,3,2,SHADE,ON,SHADE,SHADE,0,,9,10,,,,,,,,0
,4,ヒュー,よしみんな行くぞ！俺たちが戦えるってこと、思い知らせてやる！,0,1,3,2,ON,SHADE,SHADE,SHADE,0,,9,10,,,,,,,,0
,5,ローフ,騒がしい　何のパレードだ,0,0,0,5,OFF,OFF,OFF,ON,0,,9,10,,,,,,,,1
,6,,ボス！JPZの小部隊です！どうします？,5,0,0,0,ON,OFF,OFF,SHADE,0,,9,10,,,,,,,,0
,7,ローフ,格の違いってヤツをみせつけてやれ,0,0,0,5,SHADE,OFF,OFF,ON,0,,9,10,,,,,,,,1
,8,,へい！,5,0,0,0,ON,OFF,OFF,SHADE,0,,9,10,,,,,,,,0
,9,ヒュー,くっ…,0,0,0,0,ON,OFF,OFF,OFF,0,,16,17,,,,,,,,0
,10,,大したことないなあ！　ボス、とっととやっちゃいましょ…,0,0,0,5,SHADE,OFF,OFF,ON,0,,16,17,,,,,,,,1
,11,ローフ,ん？,0,0,0,5,SHADE,OFF,OFF,ON,0,,16,17,,,,,,,,1
,12,ジェーコブ,…,0,0,6,0,SHADE,OFF,ON,OFF,0,,16,17,,,,,,,,1
,13,ヒュー,…誰だ？味方か？,0,0,6,0,ON,OFF,SHADE,OFF,0,,16,17,,,,,,,,0
,14,ゲイリー,いや、あんな爺さん知らないが,0,4,6,0,SHADE,ON,SHADE,OFF,0,,16,17,,,,,,,,0
,15,ヒュー,うーん…ともあれ、これはチャンス！行くぞ！,0,4,6,0,ON,SHADE,SHADE,OFF,0,,16,17,,,,,,,,0
,16,ローフ,くそ、邪魔な奴らめ！,0,0,0,5,OFF,OFF,OFF,ON,0,,17,18,,,,,,,,1
,17,ローフ,ぐえっ…　死にたくねえ…,0,0,0,5,OFF,OFF,OFF,ON,1,,0,18,,,,,,,,1
