Number,Name,LV,Job,Strength,Weapon,WeaponType,DropFlag
1,ガンナー,3,Gunner,Weak,M92F,Gun,1
2,ガンナー,3,Gunner,Weak,M92F,Gun,0
3,ローシーフ,5,Gunner,Weak,AK-47,Gun,1
4,ガンナー,1,Gunner,Weak,M92F,Gun,0
5,マーセナリー,3,Mercenary,Weak,IronAxe,Axe,0
6,マーセナリー,3,Mercenary,Weak,IronAxe,Axe,0
7,ガンナー,1,Gunner,Weak,M92F,Gun,0
8,ファイター,1,Fighter,Weak,IronCraw,Knuckle,0
9,ファイター,1,Fighter,Weak,IronCraw,Knuckle,0
10,ガンナー,1,Gunner,Weak,M92F,Gun,0
11,ファイター,1,Fighter,Weak,IronCraw,Knuckle,0
12,ガンナー,1,Gunner,Weak,M92F,Gun,0
13,マーセナリー,1,Mercenary,Weak,IronAxe,Axe,0
14,ガンナー,1,Gunner,Weak,M92F,Gun,0
