Number,Name,LV,Job,Strength,Weapon,WeaponType,DropFlag,Story,Boss
1,ライダー,5,Rider,Weak,IronSpear,Spear,0,0,0
2,ライダー,5,Rider,Weak,Javelin,Spear,1,0,0
3,ライダー,3,Rider,Weak,IronSpear,Spear,0,0,0
4,ライダー,5,Rider,Weak,IronSpear,Spear,0,0,0
5,ライダー,3,Rider,Weak,IronSpear,Spear,0,0,0
6,ライダー,3,Rider,Weak,Javelin,Spear,0,0,0
7,ライダー,3,Rider,Weak,IronSpear,Spear,0,0,0
8,ライダー,3,Rider,Weak,IronSpear,Spear,0,0,0
9,ライダー,1,Rider,Weak,IronSpear,Spear,0,0,0
10,イゴール,4,Rider,Weak,LongLance,Spear,1,1,0
11,ライダー,1,Rider,Weak,IronSpear,Spear,0,0,0
12,ライダー,1,Rider,Weak,IronAxe,Axe,0,0,0
13,シングス,12,Rider,Weak,SteelSpear,Spear,1,1,1
14,ライダー,3,Rider,Weak,ThrowAxe,Axe,1,0,0
15,ライダー,1,Rider,Weak,IronAxe,Axe,0,0,0
16,サイモン,7,Rider,Weak,Javelin,Spear,1,1,0
17,ライダー,3,Rider,Weak,IronAxe,Axe,0,0,0
18,ライダー,3,Rider,Weak,ThrowAxe,Axe,0,0,0
19,ライダー,3,Rider,Weak,IronAxe,Axe,0,0,0
